FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.Int.2: Cybersecurity awareness information is provided to retail customers and commercial clients at least annually.,Intermediate,Full,"PR.AT-02.06: The organization has established and maintains a cybersecurity awareness program through which the organization's customers are kept aware of new threats and vulnerabilities, basic cybersecurity hygiene practices, and their role in cybersecurity, as appropriate.",PR.AT-02.06,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.Int.3: Business units are provided cybersecurity training relevant to their particular business risks, over and above what is required of the institution as a whole.",Intermediate,Full Summarily,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PR.AT-02.02,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.Int.3: Business units are provided cybersecurity training relevant to their particular business risks, over and above what is required of the institution as a whole.",Intermediate,Full Summarily,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PR.AT-02.07,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.Int.4: The institution routinely updates its training to security staff to adapt to new threats.,Intermediate,Full,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PR.AT-02.01,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.A.1: Independent directors are provided with cybersecurity training that addresses how complex products, services, and lines of business affect the institution's cyber risk.",Advanced,Full Summarily,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PR.AT-02.07,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,"D1.TC.Tr.A.1: Independent directors are provided with cybersecurity training that addresses how complex products, services, and lines of business affect the institution's cyber risk.",Advanced,Full Summarily,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PR.AT-02.08,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 1: Training,D1.TC.Tr.Inn.1: Key performance indicators are used to determine whether training and awareness programs positively influence behavior.,Innovative,Partial,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GV.OV-03.01,GOVERN / Oversight / Risk Management Performance Measurement
1: Cyber Risk Management & Oversight / 4: Training & Culture / 2: Culture,D1.TC.Cu.B.1: Management holds employees accountable for complying with the information security program.,Baseline,Full,"GV.PO-01.03: The organization's incentive programs are consistent with cyber risk management objectives, and technology and cybersecurity policies integrate with an employee accountability policy to ensure that all personnel are held accountable for complying with policies.",GV.PO-01.03,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
1: Cyber Risk Management & Oversight / 4: Training & Culture / 2: Culture,D1.TC.Cu.E.1: The institution has formal standards of conduct that hold all employees accountable for complying with cybersecurity policies and procedures.,Evolving,Full,"GV.PO-01.03: The organization's incentive programs are consistent with cyber risk management objectives, and technology and cybersecurity policies integrate with an employee accountability policy to ensure that all personnel are held accountable for complying with policies.",GV.PO-01.03,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
1: Cyber Risk Management & Oversight / 4: Training & Culture / 2: Culture,D1.TC.Cu.E.2: Cyber risks are actively discussed at business unit meetings.,Evolving,Full Summarily,"GV.RM-03.04: Technology and cybersecurity risk management considerations are integrated into daily operations, cultural norms, management discussions, and management decision-making, and are tailored to address enterprise-specific risks (both internal and external).",GV.RM-03.04,GOVERN / Risk Management Strategy / Enterprise Risk Integration
1: Cyber Risk Management & Oversight / 4: Training & Culture / 2: Culture,D1.TC.Cu.E.2: Cyber risks are actively discussed at business unit meetings.,Evolving,Full Summarily,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DE.AE-06.01,DETECT / Adverse Event Analysis / Event Information Sharing
1: Cyber Risk Management & Oversight / 4: Training & Culture / 2: Culture,D1.TC.Cu.E.3: Employees have a clear understanding of how to identify and escalate potential cybersecurity issues.,Evolving,Full,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PR.AT-01.02,PROTECT / Awareness and Training / User Awareness & Training
1: Cyber Risk Management & Oversight / 4: Training & Culture / 2: Culture,D1.TC.Cu.Int.1: Management ensures performance plans are tied to compliance with cybersecurity policies and standards in order to hold employees accountable.,Intermediate,Full,"GV.PO-01.03: The organization's incentive programs are consistent with cyber risk management objectives, and technology and cybersecurity policies integrate with an employee accountability policy to ensure that all personnel are held accountable for complying with policies.",GV.PO-01.03,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
